TÊN KHÓA HỌC (course name)    ,CHUYÊN NGÀNH (course category),TÊN GIẢNG VIÊN (instructor name),LINK KHÓA HỌC (course link),MÔ TẢ (course description)
HỘI HỌA: MÀU SẮC VÀ PHỐI MÀU CƠ BẢN,Design,Mr. Lê Hoàng Anh Thi,https://onlinica.com/courses/course-v1:Onlinica+001+2022_001/about ,Kiến thức cơ bản về màu sắc. Sử dụng ánh sáng và nhiệt độ trong màu sắc. Nguyên lý phối màu. Thực hành tô màu với vòng tròn thuần sắc. Hướng dẫn bởi giảng viên chuyên ngành thiết kế
KỸ NĂNG QUẢN LÝ THỜI GIAN,Personal Development,Ms. Nguyễn Thu Hà,https://onlinica.com/courses/course-v1:Onlinica+002+2022_002/about,Ý nghĩa của kỹ năng quản lý thời gian. Cách phân chia thời gian hiệu quả. Cách ứng dụng kỹ năng quản lý thời gian vào cuộc sống hàng ngày.
KỸ NĂNG SINH TỒN TRONG THÀNH PHỐ ,Personal Development,Ms. Lê Diệu Hiền,https://onlinica.com/courses/course-v1:Onlinica+003+2022_003/about,Cách tìm kiếm phòng trọ tại Thành Phố. Kỹ năng đánh giá và lựa chọn nơi ở phù hợp. Cách đối phó với nguy hiểm và khó khăn khi tìm kiếm phòng trọ
KHÁM PHÁ NGÀNH DIGITAL MARKETING,Digital Marketing,Ms. Nguyễn Khánh Ly,https://onlinica.com/courses/course-v1:Onlinica+004+2022_004/about#shortDes,Tổng quan về ngành Digital marketing. Vai trò và lợi ích của ngành Digital marketing đối với doanh nghiệp. Triển vọng nghề nghiệp của ngành Digital marketing trên thị trường lao động
KỸ NĂNG PHỎNG VẤN TÌM VIỆC LÀM,Soft Skills,Ms. Bùi Thương Huyền,https://onlinica.com/courses/course-v1:Onlinica+005+2022_005/about,Cách chuẩn bị cho cuộc phỏng vấn. Cách trả lời câu hỏi phỏng vấn một cách tự tin và logic. Cách thể hiện bản thân một cách chuyên nghiệp và hấp dẫn. Cách tạo ấn tượng tích cực với nhà tuyển dụng.
NGÀNH TRÍ TUỆ NHÂN TẠO AI - NGHỀ CỦA TƯƠNG LAI,Trí tuệ nhân tạo A.I,Mr. Trần Anh Tuấn,https://onlinica.com/courses/course-v1:Onlinica+006+2022_006/about,"Trí tuệ nhân tạo là một nhánh của khoa học máy tính, liên quan đến việc xây dựng hệ thống máy thông minh. Máy học là gì và sự khác biệt giữa máy học có giám sát và không giám sát. Học sâu (Deep Learning) và ứng dụng của nó"
KHÁM PHÁ NGÀNH GAME DEVELOPER - NHẬP MÔN,Lập trình,Mr. Dương Hoàng Thanh,https://onlinica.com/courses/course-v1:Onlinica+008+2022_008/about,"Quy trình tạo ra một video game. Thiết kế hình ảnh, âm thanh và dữ liệu trong video game. Cơ hội việc làm của một Game Developer"
KỸ NĂNG GIAO TIẾP HIỆU QUẢ,Soft Skills,Ms. Nguyễn Ngọc Tú Uyên,https://onlinica.com/courses/course-v1:Onlinica+009+2022_009/about,Tầm quan trọng của giao tiếp trong cuộc sống hàng ngày. Cách thức thấu hiểu và truyền đạt thông điệp đúng đắn. Kỹ năng giao tiếp hiệu quả từ người gửi đến người nhận. Cách xử lý tình huống giao tiếp khó khăn. Phương pháp cải thiện kỹ năng giao tiếp của bản thân.
KỸ NĂNG TÌM VIỆC LÀM THÊM,Soft Skills,Ms. Nguyễn Ngọc Tú Nguyên,https://onlinica.com/courses/course-v1:Onlinica+010+2022_010/about,Cách tìm kiếm công việc làm thêm phù hợp với thời gian học. Cách quản lý thời gian hiệu quả giữa việc học và làm thêm. Kỹ năng cần thiết để thành công trong công việc làm thêm.
SÁNG TẠO VÀ SẢN XUẤT PHIM ANIMATION,Design,"Mr. Kỷ Thế Vinh
Mr. Lê Vũ Quang",https://onlinica.com/courses/course-v1:Onlinica+039+2022-039/about#shortDes,"Chia sẻ và kinh nghiệm thực tế khi thực hiện bộ phim ""Bình Ngô Đại Chiến"". Quy trình làm phim Animation. Truyền cảm hứng và khám phá ước mơ tạo nên một bộ phim Animation của riêng mình."
TỐI ƯU BÁN HÀNG TRÊN TIKTOK SHOP,Digital Marketing,Giảng viên Onlinica (AI),https://onlinica.com/courses/course-v1:Onlinica+260+2023_260/about#shortDes,TikTok Shop là gì. Mô hình vận hành của TikTok Shop. Cách tối ưu TikTok Shop. Quản lý gian hàng thành công. Tìm ra và khắc phục những khuyết điểm trong cách vận hành gian hàng
LÝ THUYẾT NGHỆ THUẬT VỀ TỈ LỆ & GIẢI PHẪU NGƯỜI - PHẦN 01,Design,Mr. Huỳnh Nguyên Bảo,https://onlinica.com/courses/course-v1:Onlinica+064+2022_064/about,Cấu trúc cơ thể con người. Tỷ lệ cơ thể người. Kỹ thuật vẽ người
LÝ THUYẾT VỀ MÀU SẮC - PHẦN 01,Design,Ms. Nguyễn Hải Huyền Trang,https://onlinica.com/courses/course-v1:Onlinica+068+2022_068/about#shortDes,Ý nghĩa và tác động của màu sắc trong cuộc sống hàng ngày. Cách sử dụng màu sắc trong thiết kế đồ họa và truyền thông. Cách chọn lựa màu sắc phù hợp trong thiết kế và trang trí. Cách kết hợp màu sắc để tạo ra hiệu ứng và cảm xúc khác nhau
LÝ THUYẾT VỀ MÀU SẮC - PHẦN 02,Design,Ms. Nguyễn Hải Huyền Trang,https://onlinica.com/courses/course-v1:Onlinica+069+2022_069/about#shortDes,Cách vẽ trên phần mềm Adobe Illustrator với công cụ Mesh Tool. Vẽ được những đối tượng thực tế và đảm bảo chất lượng của file. Thích hợp dùng cho in ấn
GIỚI THIỆU VỀ STORYBOARDING,Design,Mr. Nguyễn Tấn Huynh,https://onlinica.com/courses/course-v1:Onlinica+070+2022_070/about#shortDes,"Storyboard là gì và tại sao cần sử dụng trong ngành điện ảnh. Cách vẽ storyboard cho phim, TVC, MV. Cách sử dụng storyboard để truyền đạt ý tưởng và thông điệp một cách hiệu quả. Các kỹ thuật và nguyên tắc cơ bản khi vẽ storyboard. Thực hành vẽ storyboard cho các dự án điện ảnh cụ thể"
DỰNG HÌNH 3D CƠ BẢN VỚI PHẦN MỀM AUTODESK MAYA,Design,Mr. Huỳnh Nguyên Bảo,https://onlinica.com/courses/course-v1:Onlinica+132+2023_132/about,Tính năng của phần mềm Maya. Cách thao tác trên phần mềm Maya. Thiết kế nhân vật 3D và bộ phim hoạt hình chất lượng
